service_type,age,income,family_size,docs_missing,aadhaar_linked,bank_linked,name_mismatch,father_name_mismatch,prev_rejections,operator_exp_months,rejected
ration_card,30,34186,10,1,1,1,0,0,0,8,0
income_certificate,21,188089,9,0,0,1,0,0,2,30,0
ayushman,75,275662,10,0,0,1,0,0,2,54,1
widow_pension,45,160027,3,0,0,1,0,1,1,47,1
caste_certificate,85,281597,3,1,0,0,0,0,0,12,1
caste_certificate,23,246597,10,0,0,1,0,0,2,31,0
widow_pension,25,276820,10,2,1,1,0,0,1,57,1
caste_certificate,56,167571,1,0,1,1,1,0,0,13,1
caste_certificate,64,265746,8,1,1,1,0,0,0,23,1
widow_pension,53,259818,10,1,1,1,0,0,3,33,1
income_certificate,69,168770,1,1,1,0,0,0,1,44,0
income_certificate,33,47001,1,1,1,1,0,0,2,18,0
widow_pension,41,251078,2,0,1,1,1,0,1,55,1
old_age_pension,67,160887,3,1,1,1,0,0,1,21,1
caste_certificate,72,160730,6,0,1,1,0,0,1,15,0
ayushman,28,180148,7,1,1,1,1,0,0,19,1
widow_pension,78,238393,6,0,1,1,0,0,2,42,1
widow_pension,47,107086,1,2,1,1,0,0,2,17,1
ayushman,73,55386,1,1,1,1,0,0,1,5,0
caste_certificate,60,89888,6,0,1,1,1,0,0,38,1
ration_card,29,232683,4,0,1,1,0,0,0,7,1
old_age_pension,41,184552,8,2,1,1,0,0,1,27,1
widow_pension,62,254424,4,0,0,1,1,0,3,43,1
old_age_pension,48,64616,9,0,1,1,1,0,1,54,1
ration_card,52,24813,1,0,1,1,0,1,3,2,0
ayushman,44,207961,10,0,1,1,0,0,1,37,1
income_certificate,29,281254,10,1,1,1,0,0,0,33,0
old_age_pension,53,24450,10,0,1,1,0,0,0,6,1
income_certificate,25,155151,3,1,0,0,0,0,0,32,0
ration_card,77,145233,3,1,1,1,0,0,0,60,0
ration_card,25,73848,7,1,1,1,0,0,1,11,0
old_age_pension,50,248150,5,2,1,1,0,0,0,45,0
old_age_pension,74,65770,2,0,1,1,0,0,0,60,0
ayushman,27,252341,1,1,0,1,0,0,2,47,1
ration_card,60,129079,7,3,0,1,0,0,0,59,1
income_certificate,43,83008,9,0,0,1,0,0,1,17,0
ration_card,76,123517,1,0,1,1,0,0,1,35,0
widow_pension,37,144549,4,2,1,1,0,0,2,40,1
income_certificate,39,200911,7,1,1,1,1,0,0,12,1
income_certificate,27,37417,6,0,1,1,0,0,1,32,0
widow_pension,48,241417,4,1,1,1,1,0,2,32,1
ration_card,52,238153,2,0,1,0,0,0,0,50,1
old_age_pension,27,276190,4,0,1,1,0,0,2,11,1
income_certificate,54,38014,1,0,1,1,0,0,0,27,0
ayushman,20,160709,2,0,0,1,0,0,1,9,1
ayushman,81,20004,8,0,1,0,0,0,0,24,0
ayushman,21,26088,9,1,1,1,0,0,1,9,0
income_certificate,60,219985,10,1,1,1,0,0,0,23,0
widow_pension,50,143847,9,0,1,0,0,0,0,53,1
widow_pension,23,238916,1,0,1,1,0,0,1,43,1
widow_pension,50,219740,3,0,1,1,0,0,1,58,1
caste_certificate,67,140143,7,0,1,1,0,0,0,5,1
ration_card,47,90714,8,0,1,1,0,0,1,44,0
ration_card,42,234565,5,1,1,1,0,0,1,37,1
